"","year","est","lwr","upr","log_est","se","sub_div","species","est_t","lwr_t","upr_t"
"97",2005,3194679.1399742,1832361.82762723,6891282.56555637,15.0168378843157,0.334685498439678,"28","fle",3194.6791399742,1832.36182762723,6891.28256555637
"98",2006,4184242.87329804,3066321.16868547,6281562.96298777,15.2600400934305,0.204683322807045,"28","fle",4184.24287329804,3066.32116868547,6281.56296298777
"99",2007,6492927.90534319,5203520.78176058,8948937.02165844,15.7013313633862,0.163402915957198,"28","fle",6492.92790534319,5203.52078176058,8948.93702165844
"100",2008,6168018.90011804,4757663.14360866,9578242.32472206,15.6607402211266,0.199438504337016,"28","fle",6168.01890011804,4757.66314360866,9578.24232472206
"101",2009,3269529.01306091,2342361.55134004,5308752.78233019,15.0259626232898,0.239171801240761,"28","fle",3269.52901306091,2342.36155134004,5308.75278233019
"102",2010,5227161.84052844,3852395.7580741,7929005.85956101,15.4948384308949,0.23880533077395,"28","fle",5227.16184052844,3852.3957580741,7929.00585956101
"103",2011,5427348.87654683,4013603.20109127,8361871.7424993,15.5249096275947,0.23300204440148,"28","fle",5427.34887654683,4013.60320109127,8361.8717424993
"104",2012,5371355.16390995,3840699.97526793,8520438.89719821,15.5081379641737,0.248367201647559,"28","fle",5371.35516390996,3840.69997526793,8520.43889719821
"105",2013,2834715.3063901,2061906.55696612,3984462.27090412,14.8627190684132,0.198001844658302,"28","fle",2834.7153063901,2061.90655696612,3984.46227090412
"106",2014,1478896.44658236,1065887.7723268,2266235.24488752,14.2284579875351,0.22514313960291,"28","fle",1478.89644658236,1065.8877723268,2266.23524488752
"107",2015,1374355.16887434,1026821.45933169,2149192.6431871,14.1492753582588,0.19318484165005,"28","fle",1374.35516887434,1026.82145933169,2149.1926431871
"108",2016,1271934.46482901,910364.776096654,1920700.4133309,14.0652969291138,0.194274884365156,"28","fle",1271.93446482901,910.364776096654,1920.7004133309
"109",2017,1330133.30641094,975552.059314085,2057426.24172084,14.1123063468457,0.209460920591345,"28","fle",1330.13330641094,975.552059314085,2057.42624172084
"110",2018,1390308.70517199,1000931.55931177,2209655.09935622,14.1615526521408,0.221255610757974,"28","fle",1390.30870517199,1000.93155931177,2209.65509935622
"111",2019,1938050.18808454,1036691.63501692,4523600.64686783,14.4967944351873,0.392623113403593,"28","fle",1938.05018808454,1036.69163501692,4523.60064686783
"112",2020,2297398.11232154,959776.202773541,6039866.47862526,14.6537467538587,0.478523488105776,"28","fle",2297.39811232154,959.77620277354,6039.86647862526
